Made from files: gal_rot_0_90_1.txt
G0.0 G10.0 G20.0 G30.0 G40.0 G50.0 G60.0 G70.0 G80.0 G90.0
freq vel vel_vlsr Tant freq_1 vel_1 vel_vlsr_1 Tant_1 freq_2 vel_2 vel_vlsr_2 Tant_2 freq_3 vel_3 vel_vlsr_3 Tant_3 freq_4 vel_4 vel_vlsr_4 Tant_4 freq_5 vel_5 vel_vlsr_5 Tant_5 freq_6 vel_6 vel_vlsr_6 Tant_6 freq_7 vel_7 vel_vlsr_7 Tant_7 freq_8 vel_8 vel_vlsr_8 Tant_8 freq_9 vel_9 vel_vlsr_9 Tant_9
1419.397 253.18204 213.11204 145.083 1419.397 255.45204 213.11204 142.132 1419.397 256.44204 213.11204 141.315 1419.397 256.10204 213.11204 140.669 1419.397 254.46204 213.11204 139.808 1419.397 251.56204 213.11204 138.922 1419.397 247.50204 213.11204 137.782 1419.397 242.39204 213.11204 137.36 1419.397 236.39204 213.11204 138.694 1419.397 229.68204 213.11204 139.584
1419.406375 251.20054 211.13054 144.734 1419.406375 253.47054 211.13054 142.302 1419.406375 254.46054 211.13054 140.591 1419.406375 254.12054 211.13054 141.237 1419.406375 252.48054 211.13054 139.458 1419.406375 249.58054 211.13054 138.346 1419.406375 245.52054 211.13054 137.643 1419.406375 240.41054 211.13054 137.417 1419.406375 234.41054 211.13054 138.971 1419.406375 227.70054 211.13054 139.541
1419.41575 249.21907 209.14907 145.341 1419.41575 251.48907 209.14907 142.583 1419.41575 252.47907 209.14907 140.897 1419.41575 252.13907 209.14907 140.597 1419.41575 250.49907 209.14907 139.291 1419.41575 247.59907 209.14907 138.17 1419.41575 243.53907 209.14907 136.862 1419.41575 238.42907 209.14907 136.884 1419.41575 232.42907 209.14907 139.386 1419.41575 225.71907 209.14907 138.626
1419.425125 247.23762 207.16762 145.393 1419.425125 249.50762 207.16762 142.528 1419.425125 250.49762 207.16762 141.46 1419.425125 250.15762 207.16762 141.189 1419.425125 248.51762 207.16762 139.964 1419.425125 245.61762 207.16762 138.797 1419.425125 241.55762 207.16762 137.578 1419.425125 236.44762 207.16762 136.964 1419.425125 230.44762 207.16762 139.967 1419.425125 223.73762 207.16762 139.471
1419.4344999999998 245.2562 205.1862 145.479 1419.4344999999998 247.5262 205.1862 141.781 1419.4344999999998 248.5162 205.1862 140.383 1419.4344999999998 248.1762 205.1862 140.777 1419.4344999999998 246.5362 205.1862 139.588 1419.4344999999998 243.6362 205.1862 138.488 1419.4344999999998 239.5762 205.1862 137.299 1419.4344999999998 234.4662 205.1862 137.134 1419.4344999999998 228.4662 205.1862 139.163 1419.4344999999998 221.7562 205.1862 139.339
1419.443875 243.27481 203.20481 144.666 1419.443875 245.54481 203.20481 142.301 1419.443875 246.53481 203.20481 140.661 1419.443875 246.19481 203.20481 140.82 1419.443875 244.55481 203.20481 139.316 1419.443875 241.65481 203.20481 138.881 1419.443875 237.59481 203.20481 137.243 1419.443875 232.48481 203.20481 137.424 1419.443875 226.48481 203.20481 139.289 1419.443875 219.77481 203.20481 139.722
1419.45325 241.29344 201.22344 145.472 1419.45325 243.56344 201.22344 141.809 1419.45325 244.55344 201.22344 140.927 1419.45325 244.21344 201.22344 140.613 1419.45325 242.57344 201.22344 139.485 1419.45325 239.67344 201.22344 138.432 1419.45325 235.61344 201.22344 137.673 1419.45325 230.50344 201.22344 137.623 1419.45325 224.50344 201.22344 139.314 1419.45325 217.79344 201.22344 139.982
1419.462625 239.3121 199.2421 145.798 1419.462625 241.5821 199.2421 142.097 1419.462625 242.5721 199.2421 141.452 1419.462625 242.2321 199.2421 141.369 1419.462625 240.5921 199.2421 139.602 1419.462625 237.6921 199.2421 139.241 1419.462625 233.6321 199.2421 137.597 1419.462625 228.5221 199.2421 137.311 1419.462625 222.5221 199.2421 139.445 1419.462625 215.8121 199.2421 139.762
1419.472 237.33078 197.26078 145.942 1419.472 239.60078 197.26078 142.344 1419.472 240.59078 197.26078 140.962 1419.472 240.25078 197.26078 141.115 1419.472 238.61078 197.26078 139.631 1419.472 235.71078 197.26078 138.98 1419.472 231.65078 197.26078 137.64 1419.472 226.54078 197.26078 137.558 1419.472 220.54078 197.26078 138.957 1419.472 213.83078 197.26078 139.727
1419.4813749999998 235.34949 195.27949 145.845 1419.4813749999998 237.61949 195.27949 142.173 1419.4813749999998 238.60949 195.27949 141.063 1419.4813749999998 238.26949 195.27949 141.086 1419.4813749999998 236.62949 195.27949 139.744 1419.4813749999998 233.72949 195.27949 138.632 1419.4813749999998 229.66949 195.27949 137.058 1419.4813749999998 224.55949 195.27949 137.97 1419.4813749999998 218.55949 195.27949 139.407 1419.4813749999998 211.84949 195.27949 138.925
1419.49075 233.36823 193.29823 145.966 1419.49075 235.63823 193.29823 142.479 1419.49075 236.62823 193.29823 141.679 1419.49075 236.28823 193.29823 141.242 1419.49075 234.64823 193.29823 139.235 1419.49075 231.74823 193.29823 138.329 1419.49075 227.68823 193.29823 137.641 1419.49075 222.57823 193.29823 137.391 1419.49075 216.57823 193.29823 139.312 1419.49075 209.86823 193.29823 139.758
1419.500125 231.38699 191.31699 145.877 1419.500125 233.65699 191.31699 142.502 1419.500125 234.64699 191.31699 141.799 1419.500125 234.30699 191.31699 140.885 1419.500125 232.66699 191.31699 139.898 1419.500125 229.76699 191.31699 138.763 1419.500125 225.70699 191.31699 137.395 1419.500125 220.59699 191.31699 137.207 1419.500125 214.59699 191.31699 139.305 1419.500125 207.88699 191.31699 139.17
1419.5095 229.40578 189.33578 145.572 1419.5095 231.67578 189.33578 142.756 1419.5095 232.66578 189.33578 140.673 1419.5095 232.32578 189.33578 140.891 1419.5095 230.68578 189.33578 139.31 1419.5095 227.78578 189.33578 138.81 1419.5095 223.72578 189.33578 137.836 1419.5095 218.61578 189.33578 137.172 1419.5095 212.61578 189.33578 139.477 1419.5095 205.90578 189.33578 139.039
