freq vel_sub vel Tant_raw Tant_corr
1421.393875 -208.35708 -165.02708 142.222 -0.07752852860951975
1421.3845 -206.38112 -163.05112 142.342 0.07452454052759094
1421.375125 -204.40513 -161.07513 142.213 -0.02267583406106155
1421.36575 -202.42912 -159.09912 141.675 -0.5291298229435881
1421.3563749999998 -200.45308 -157.12308 141.416 -0.7568372761134015
1421.347 -198.47701 -155.14701 141.899 -0.24279820513649497
1421.337625 -196.50092 -153.17092 142.076 -0.035012776726233596
1421.32825 -194.5248 -151.1948 143.913 1.8325191552683862
1421.318875 -192.54866 -149.21866 143.935 1.88479742670404
1421.3094999999998 -190.57249 -147.24249 141.859 -0.16117781883883708
1421.300125 -188.59629 -145.26629 142.502 0.5115934070728656
1421.29075 -186.62007 -143.29007 141.748 -0.2128890558488763
1421.281375 -184.64382 -141.31382 141.633 -0.2986250678797262
1421.272 -182.66755 -139.33755 141.209 -0.6936147867375269
1421.2626249999998 -180.69125 -137.36125 141.694 -0.17985807526869735
1421.25325 -178.71492 -135.38492 141.748 -0.09735494504081998
1421.243875 -176.73857 -133.40857 141.789 -0.028105549916261907
1421.2345 -174.76219 -131.43219 141.413 -0.37610975659771384
1421.225125 -172.78578 -129.45578 141.788 0.026632423346654832
1421.2157499999998 -170.80935 -127.47935 141.049 -0.684879160089821
1421.206375 -168.8329 -125.5029 141.496 -0.21064451461936073
1421.197 -166.85641 -123.52641 141.88 0.20033662378097006
1421.187625 -164.8799 -121.5499 141.497 -0.15593602947819818
1421.17825 -162.90337 -119.57337 142.048 0.4215375178905276
1421.1688749999998 -160.92681 -117.59681 141.084 -0.5162426098140998
1421.1595 -158.95022 -115.62022 141.359 -0.21527642416126014
1421.150125 -156.97361 -113.64361 142.01 0.4614359338393683
1421.14075 -154.99697 -111.66697 141.917 0.39389458462972016
1421.131375 -153.0203 -109.6903 141.045 -0.45290048335982647
1421.1219999999998 -151.04361 -107.71361 141.649 0.17605059271718915
1421.112625 -149.06689 -105.73689 141.524 0.07574792944566866
1421.10325 -147.09015 -103.76015 141.624 0.20019139224297078
1421.093875 -145.11338 -101.78338 141.229 -0.1706189048773581
1421.0845 -143.13659 -99.80659 141.521 0.14531690607287828
1421.0751249999998 -141.15976 -97.82976 141.136 -0.21600094430834815
1421.06575 -139.18292 -95.85292 141.11 -0.21857282505908415
1421.056375 -137.20604 -93.87604 141.071 -0.23439839028281995
1421.047 -135.22914 -91.89914 140.339 -0.9434778860050983
1421.037625 -133.25222 -89.92222 141.485 0.22518868005994364
1421.0282499999998 -131.27526 -87.94526 141.578 0.3406015256529713
1421.018875 -129.29828 -85.96828 141.494 0.2787604124620202
1421.0095 -127.32128 -83.99128 140.979 -0.21433466722729122
1421.000125 -125.34425 -82.01425 140.919 -0.2526836122592897
1420.99075 -123.36719 -80.03719 141.589 0.43871356579410303
1420.9813749999998 -121.39011 -78.06011 141.895 0.7658567490623227
1420.972 -119.413 -76.083 141.013 -0.09525396515670081
1420.962625 -117.43587 -74.10587 140.804 -0.2836186921622641
1420.95325 -115.45871 -72.12871 141.264 0.1967626627717891
1420.943875 -113.48152 -70.15152 141.414 0.36689008807272216
1420.9344999999998 -111.50431 -68.17431 141.049 0.021763472298488296
1420.925125 -109.52707 -66.19707 141.797 0.7893829063171438
1420.91575 -107.5498 -64.2198 142.145 1.1567483785556192
1420.906375 -105.57251 -62.24251 142.029 1.0598597814290258
1420.897 -103.59519 -60.26519 142.203 1.252717201947405
1420.8876249999998 -101.61785 -58.28785 142.646 1.714320535097471
1420.87825 -99.64048 -56.31048 143.573 2.65966986531717
1420.868875 -97.66308 -54.33308 143.677 2.7817651810325117
1420.8595 -95.68566 -52.35566 144.685 3.807606381087936
1420.850125 -93.70821 -50.37821 146.162 5.302193546062853
1420.8407499999998 -91.73074 -48.40074 148.299 7.456526577373381
1420.831375 -89.75324 -46.42324 148.08 7.254605553026693
1420.822 -87.77571 -44.44571 149.658 8.849430461448122
1420.812625 -85.79816 -42.46816 149.661 8.869001207911651
1420.80325 -83.82058 -40.49058 149.831 9.055317866565758
1420.7938749999998 -81.84298 -38.51298 149.905 9.145380345256342
1420.7845 -79.86535 -36.53535 150.298 9.554188715559462
1420.775125 -77.88769 -34.55769 150.179 9.450742965899678
1420.76575 -75.91001 -32.58001 150.136 9.423043007980965
1420.756375 -73.9323 -30.6023 149.936 9.238088909520457
1420.7469999999998 -71.95456 -28.62456 149.748 9.064880658942286
1420.737625 -69.9768 -26.6468 150.298 9.629418171808624
1420.72825 -67.99901 -24.66901 150.305 9.650701511977559
1420.718875 -66.0212 -22.6912 150.259 9.618730597583465
1420.7095 -64.04336 -20.71336 150.973 10.346505489911777
1420.7001249999998 -62.0655 -18.7355 152.705 12.092026109669064
1420.69075 -60.0876 -16.7576 153.341 12.741292581998295
1420.681375 -58.10969 -14.77969 156.716 16.129304696031483
1420.672 -56.13174 -12.80174 166.435 25.861062639482554
1420.662625 -54.15377 -10.82377 182.055 41.493566271772636
1420.6532499999998 -52.17578 -8.84578 189.088 48.53881558518344
1420.643875 -50.19775 -6.86775 186.707 46.16981069199363
1420.6345 -48.21971 -4.88971 182.507 41.98155140063008
1420.625125 -46.24163 -2.91163 178.327 37.81303787951035
1420.61575 -44.26353 -0.93353 178.5 37.997270000918775
1420.6063749999998 -42.2854 1.0446 182.07 41.578247811989286
1420.597 -40.30725 3.02275 183.02 42.53897124757739
1420.587625 -38.32907 5.00093 183.351 42.88044035224374
1420.57825 -36.35087 6.97913 183.855 43.39465506341662
